,Close,High,Low,Money,Open,Time,Turnover_ratio,Volume
0,2.88,2.91,2.79,1326725.0,2.84,2005-01-05,0.43,466445.0
1,2.83,2.85,2.81,723352.0,2.85,2005-01-06,0.24,256193.0
2,2.85,2.88,2.8,704799.0,2.8,2005-01-07,0.23,247043.0
3,2.89,2.89,2.82,674450.0,2.89,2005-01-10,0.22,236054.0
4,2.89,2.89,2.84,756478.0,2.88,2005-01-11,0.24,263839.0
5,2.91,2.92,2.86,1042820.0,2.9,2005-01-12,0.33,360695.0
6,2.92,2.93,2.88,1343466.0,2.92,2005-01-13,0.42,461119.0
7,2.99,3.02,2.88,5307127.0,2.92,2005-01-14,1.64,1783053.0
8,3.1,3.25,3.07,21729622.0,3.24,2005-01-17,6.34,6911902.0
9,3.17,3.18,3.07,8779095.0,3.12,2005-01-18,2.57,2799602.0
10,3.09,3.17,3.03,5321058.0,3.17,2005-01-19,1.58,1726345.0
11,3.14,3.17,3.02,6761116.0,3.05,2005-01-20,1.99,2172075.0
12,3.17,3.28,3.09,14155811.0,3.17,2005-01-21,4.04,4397312.0
13,3.22,3.37,3.16,9760989.0,3.22,2005-01-24,2.75,2997286.0
14,3.15,3.2,3.1,4240752.0,3.2,2005-01-25,1.24,1352161.0
15,3.07,3.14,3.07,2732856.0,3.13,2005-01-26,0.81,884110.0
16,3.02,3.09,3.01,2310786.0,3.04,2005-01-27,0.7,762692.0
17,2.89,3.05,2.86,3208924.0,3.0,2005-01-28,1.0,1086462.0
18,2.84,2.87,2.79,2905407.0,2.87,2005-01-31,0.94,1029034.0
19,2.86,2.97,2.84,4174292.0,2.84,2005-02-01,1.32,1434818.0
20,3.01,3.02,2.86,4423813.0,2.9,2005-02-02,1.38,1501954.0
21,2.9,3.02,2.89,3783574.0,3.02,2005-02-03,1.18,1284098.0
22,2.91,2.94,2.86,3278815.0,2.88,2005-02-04,1.04,1130019.0
23,2.95,2.99,2.92,1985544.0,2.94,2005-02-16,0.62,672035.0
24,3.0,3.01,2.92,1826274.0,2.93,2005-02-17,0.57,616571.0
25,2.97,3.05,2.96,2391635.0,3.0,2005-02-18,0.73,795010.0
26,3.04,3.05,2.94,2321347.0,3.0,2005-02-21,0.71,774086.0
27,3.12,3.17,3.0,6544556.0,3.02,2005-02-22,1.94,2113196.0
28,3.15,3.22,3.13,10309269.0,3.17,2005-02-23,2.98,3249343.0
29,3.15,3.17,3.09,5188879.0,3.13,2005-02-24,1.52,1662389.0
